atp,location,tournament,date,series,court,surface,round,best of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,wta,tier,pinnacle_prob_w,pinnacle_prob_l,offer_odds_w,offer_odds_l,offer_source,market_prob_w,market_prob_l,value_edge_w,value_edge_l
1.0,Adelaide,Adelaide International 1,2023-01-01,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Gasquet R.,61.0,68.0,776.0,740.0,7.0,6.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,1.91,1.91,1.93,1.95,1.99,1.95,1.89,1.89,,,0.502577319587629,0.4974226804123712,1.99,1.95,max,0.5025125628140703,0.5128205128205129,0.00012886597938166489,-0.030025773195876182
1.0,Adelaide,Adelaide International 1,2023-01-01,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Galan D.E.,63.0,67.0,775.0,741.0,6.0,3.0,,,,,,,,,1.0,0.0,Retired,1.36,3.2,1.39,3.25,1.44,3.4,1.36,3.12,,,0.7004310344827586,0.2995689655172413,1.44,3.4,max,0.6944444444444444,0.29411764705882354,0.008620689655172376,0.018534482758620463
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,O Connell C.,29.0,78.0,1420.0,652.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.58,2.53,1.64,2.53,1.58,2.36,,,0.6155717761557177,0.38442822384428227,1.64,2.53,max,0.6097560975609756,0.3952569169960475,0.00953771289537686,-0.027396593673965963
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rune H.,36.0,11.0,1134.0,2888.0,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,3.75,1.29,4.0,1.28,4.0,1.31,3.56,1.29,,,0.24242424242424243,0.7575757575757576,4.0,1.31,max,0.25,0.7633587786259541,-0.030303030303030276,-0.007575757575757569
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Auger-Aliassime F.,120.0,6.0,469.0,4195.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,6.5,1.11,6.2,1.15,6.75,1.18,6.04,1.13,,,0.15646258503401358,0.8435374149659863,6.75,1.18,max,0.14814814814814814,0.8474576271186441,0.05612244897959173,-0.004625850340136184
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Thompson J.,64.0,84.0,767.0,626.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.14,1.78,2.15,1.83,2.08,1.74,,,0.4540816326530612,0.5459183673469388,2.15,1.83,max,0.46511627906976744,0.5464480874316939,-0.02372448979591857,-0.0009693877551020247
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Ymer M.,88.0,69.0,606.0,739.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.27,1.7,2.36,1.71,2.2,1.65,,,0.4282115869017632,0.5717884130982368,2.36,1.71,max,0.42372881355932207,0.5847953216374269,0.010579345088161052,-0.022241813602015048
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Kwon S.W.,42.0,83.0,990.0,630.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.69,2.29,1.7,2.4,1.65,2.22,,,0.5753768844221105,0.42462311557788945,1.7,2.4,max,0.5882352941176471,0.4166666666666667,-0.02185929648241214,0.019095477386934734
1.0,Adelaide,Adelaide International 1,2023-01-02,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Cressy M.,93.0,34.0,592.0,1163.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.91,1.91,1.97,1.92,2.0,2.12,1.9,1.89,,,0.493573264781491,0.5064267352185091,2.0,2.12,max,0.5,0.4716981132075471,-0.01285347043701801,0.0736246786632393
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Sonego L.,7.0,45.0,4065.0,950.0,7.0,6.0,2.0,1.0,,,,,,,1.0,0.0,Retired,1.11,6.5,1.13,7.18,1.15,7.18,1.12,6.15,,,0.8640192539109506,0.13598074608904934,1.15,7.18,max,0.8695652173913044,0.1392757660167131,-0.0063778580024068665,-0.023658243080625807
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Cachin P.,20.0,57.0,1990.0,813.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.18,5.52,1.24,5.52,1.18,4.84,,,0.8238805970149253,0.17611940298507464,1.24,5.52,max,0.8064516129032259,0.1811594202898551,0.021611940298507326,-0.02782089552238809
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Lestienne C.,5.0,65.0,4820.0,760.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.03,17.0,1.02,18.89,1.04,18.89,1.02,13.52,,,0.9487694625816173,0.051230537418382724,1.04,18.89,max,0.9615384615384615,0.05293806246691371,-0.0132797589151179,-0.03225514816675035
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Sinner J.,Edmund K.,15.0,582.0,2410.0,52.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.13,7.01,1.15,7.01,1.12,6.04,,,0.8611793611793612,0.13882063882063883,1.15,7.01,max,0.8695652173913044,0.14265335235378032,-0.009643734643734692,-0.02686732186732188
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Hijikata R.,18.0,164.0,2075.0,344.0,2.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.25,4.0,1.29,3.96,1.29,4.1,1.26,3.82,,,0.7542857142857143,0.24571428571428575,1.29,4.1,max,0.7751937984496123,0.24390243902439027,-0.026971428571428424,0.007428571428571562
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rublev A.,21.0,8.0,1940.0,3930.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,3.0,1.4,2.72,1.5,3.0,1.5,2.71,1.46,,,0.35545023696682465,0.6445497630331753,3.0,1.5,max,0.3333333333333333,0.6666666666666666,0.06635071090047395,-0.033175355450236976
1.0,Adelaide,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Murray A.,33.0,49.0,1175.0,920.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.62,2.44,1.63,2.56,1.58,2.36,,,0.6009852216748769,0.3990147783251232,1.63,2.56,max,0.6134969325153374,0.390625,-0.02039408866995074,0.021477832512315498
1.0,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Khachanov K.,Draper J.,20.0,42.0,1990.0,990.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.3,1.62,2.43,1.63,2.46,1.82,2.25,1.63,,,0.4014778325123153,0.5985221674876848,2.46,1.82,max,0.4065040650406504,0.5494505494505494,-0.012364532019704444,0.08931034482758649
1.0,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Mcdonald M.,36.0,63.0,1134.0,775.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.69,2.31,1.7,2.45,1.64,2.24,,,0.5775000000000001,0.42250000000000004,1.7,2.45,max,0.5882352941176471,0.4081632653061224,-0.018249999999999766,0.03512500000000007
1.0,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Kecmanovic M.,7.0,29.0,4065.0,1420.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.18,5.66,1.18,6.0,1.16,5.24,,,0.827485380116959,0.17251461988304093,1.18,6.0,max,0.8474576271186441,0.16666666666666666,-0.023567251461988348,0.0350877192982455
1.0,Adelaide,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Popyrin A.,Giron M.,120.0,61.0,469.0,776.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.73,2.1,1.78,2.17,1.85,2.22,1.74,2.09,,,0.549367088607595,0.450632911392405,1.85,2.22,max,0.5405405405405405,0.4504504504504504,0.016329113924050676,0.00040506329113920714
