min_value_edge,min_model_prob,roi,win_rate,total_bets,profit
0.02,0.3,4.74,48.0%,1447,6859.0
0.02,0.35,7.09,51.9%,1209,8577.0
0.02,0.39999999999999997,5.6,55.2%,937,5249.0
0.02,0.44999999999999996,8.05,60.6%,690,5553.0
0.02,0.49999999999999994,3.56,63.1%,507,1807.0
0.02,0.5499999999999999,3.51,65.4%,422,1482.0
0.03,0.3,6.24,46.8%,1017,6349.0
0.03,0.35,8.88,51.0%,821,7292.0
0.03,0.39999999999999997,8.95,55.0%,616,5516.0
0.03,0.44999999999999996,12.83,61.0%,441,5660.0
0.03,0.49999999999999994,8.63,64.4%,303,2614.0
0.03,0.5499999999999999,7.98,66.5%,245,1954.0
0.04,0.3,2.22,43.5%,728,1619.0
0.04,0.35,6.61,48.5%,567,3750.0
0.04,0.39999999999999997,6.79,52.6%,411,2792.0
0.04,0.44999999999999996,11.39,58.7%,288,3281.0
0.04,0.49999999999999994,6.8,61.7%,196,1333.0
0.04,0.5499999999999999,6.6,64.3%,154,1017.0
0.05,0.3,5.47,43.0%,505,2760.0
0.05,0.35,8.71,47.2%,392,3415.0
0.05,0.39999999999999997,9.04,51.1%,276,2496.0
0.05,0.44999999999999996,14.17,57.0%,186,2636.0
0.05,0.49999999999999994,6.66,58.8%,119,793.0
0.05,0.5499999999999999,5.12,60.7%,89,456.0
0.060000000000000005,0.3,4.51,41.3%,344,1551.0
0.060000000000000005,0.35,5.6,45.0%,258,1445.0
0.060000000000000005,0.39999999999999997,7.12,49.2%,179,1274.0
0.060000000000000005,0.44999999999999996,22.42,59.1%,115,2578.0
0.060000000000000005,0.49999999999999994,11.38,59.7%,72,819.0
0.060000000000000005,0.5499999999999999,10.79,62.3%,53,572.0
0.07,0.3,3.62,40.3%,248,897.0
0.07,0.35,2.05,43.4%,182,373.0
0.07,0.39999999999999997,1.22,46.0%,137,167.0
0.07,0.44999999999999996,27.68,60.2%,88,2436.0
0.07,0.49999999999999994,10.62,58.2%,55,584.0
0.07,0.5499999999999999,6.33,59.0%,39,247.0
0.08,0.3,-0.13,38.0%,184,-24.0
0.08,0.35,-3.23,40.8%,130,-420.0
0.08,0.39999999999999997,-3.04,43.1%,102,-310.0
0.08,0.44999999999999996,19.31,55.4%,65,1255.0
0.08,0.49999999999999994,5.5,54.8%,42,231.0
0.08,0.5499999999999999,0.48,55.2%,29,14.0
0.09,0.3,5.13,40.2%,132,677.0
0.09,0.35,3.41,43.6%,94,321.0
0.09,0.39999999999999997,5.85,47.2%,72,421.0
0.09,0.44999999999999996,27.96,59.6%,47,1314.0
0.09,0.49999999999999994,20.31,62.5%,32,650.0
0.09,0.5499999999999999,10.83,60.9%,23,249.0
0.09999999999999999,0.3,12.66,42.3%,97,1228.0
0.09999999999999999,0.35,9.66,45.6%,68,657.0
0.09999999999999999,0.39999999999999997,16.37,51.0%,51,835.0
0.09999999999999999,0.44999999999999996,39.33,63.6%,33,1298.0
0.09999999999999999,0.49999999999999994,32.23,68.2%,22,709.0
0.09999999999999999,0.5499999999999999,19.29,64.7%,17,328.0
